model_name,method,context_length,evidence_position,failure_type,count,n,rate
gemma3:12b,direct,8000,pos_01,evidence_integration_failure,46,80,0.575
gemma3:12b,direct,8000,pos_01,evidence_localization_failure,15,80,0.1875
gemma3:12b,direct,8000,pos_02,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,8000,pos_02,evidence_integration_failure,60,80,0.75
gemma3:12b,direct,8000,pos_03,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,8000,pos_03,evidence_integration_failure,59,80,0.7375
gemma3:12b,direct,8000,pos_03,evidence_localization_failure,1,80,0.0125
gemma3:12b,direct,8000,pos_04,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,8000,pos_04,evidence_integration_failure,60,80,0.75
gemma3:12b,direct,8000,pos_05,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,8000,pos_05,evidence_integration_failure,59,80,0.7375
gemma3:12b,direct,8000,pos_05,success,1,80,0.0125
gemma3:12b,direct,8000,pos_06,answer_conversion_failure,28,80,0.35
gemma3:12b,direct,8000,pos_06,evidence_integration_failure,17,80,0.2125
gemma3:12b,direct,8000,pos_06,evidence_localization_failure,3,80,0.0375
gemma3:12b,direct,8000,pos_06,success,32,80,0.4
gemma3:12b,direct,8000,pos_07,answer_conversion_failure,30,80,0.375
gemma3:12b,direct,8000,pos_07,evidence_integration_failure,19,80,0.2375
gemma3:12b,direct,8000,pos_07,evidence_localization_failure,2,80,0.025
gemma3:12b,direct,8000,pos_07,success,29,80,0.3625
gemma3:12b,direct,8000,pos_08,answer_conversion_failure,27,80,0.3375
gemma3:12b,direct,8000,pos_08,evidence_integration_failure,21,80,0.2625
gemma3:12b,direct,8000,pos_08,evidence_localization_failure,7,80,0.0875
gemma3:12b,direct,8000,pos_08,success,25,80,0.3125
gemma3:12b,direct,8000,pos_09,answer_conversion_failure,28,80,0.35
gemma3:12b,direct,8000,pos_09,evidence_integration_failure,17,80,0.2125
gemma3:12b,direct,8000,pos_09,evidence_localization_failure,6,80,0.075
gemma3:12b,direct,8000,pos_09,success,29,80,0.3625
gemma3:12b,retrieve_then_read,16000,pos_00,answer_conversion_failure,15,80,0.1875
gemma3:12b,retrieve_then_read,16000,pos_00,evidence_integration_failure,22,80,0.275
gemma3:12b,retrieve_then_read,16000,pos_00,evidence_selection_failure,2,80,0.025
gemma3:12b,retrieve_then_read,16000,pos_00,success,41,80,0.5125
gemma3:12b,retrieve_then_read,16000,pos_01,answer_conversion_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,16000,pos_01,evidence_integration_failure,15,80,0.1875
gemma3:12b,retrieve_then_read,16000,pos_01,evidence_selection_failure,2,80,0.025
gemma3:12b,retrieve_then_read,16000,pos_01,success,42,80,0.525
gemma3:12b,retrieve_then_read,16000,pos_02,answer_conversion_failure,17,80,0.2125
gemma3:12b,retrieve_then_read,16000,pos_02,evidence_integration_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,16000,pos_02,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_02,success,37,80,0.4625
gemma3:12b,retrieve_then_read,16000,pos_03,answer_conversion_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,16000,pos_03,evidence_integration_failure,12,80,0.15
gemma3:12b,retrieve_then_read,16000,pos_03,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_03,success,40,80,0.5
gemma3:12b,retrieve_then_read,16000,pos_04,answer_conversion_failure,20,80,0.25
gemma3:12b,retrieve_then_read,16000,pos_04,evidence_integration_failure,15,80,0.1875
gemma3:12b,retrieve_then_read,16000,pos_04,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,16000,pos_04,success,41,80,0.5125
gemma3:12b,retrieve_then_read,16000,pos_05,answer_conversion_failure,28,80,0.35
gemma3:12b,retrieve_then_read,16000,pos_05,evidence_integration_failure,22,80,0.275
gemma3:12b,retrieve_then_read,16000,pos_05,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_05,success,25,80,0.3125
gemma3:12b,retrieve_then_read,16000,pos_06,answer_conversion_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,16000,pos_06,evidence_integration_failure,14,80,0.175
gemma3:12b,retrieve_then_read,16000,pos_06,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_06,success,40,80,0.5
gemma3:12b,retrieve_then_read,16000,pos_07,answer_conversion_failure,31,80,0.3875
gemma3:12b,retrieve_then_read,16000,pos_07,evidence_integration_failure,16,80,0.2
gemma3:12b,retrieve_then_read,16000,pos_07,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_07,success,28,80,0.35
gemma3:12b,retrieve_then_read,16000,pos_08,answer_conversion_failure,30,80,0.375
gemma3:12b,retrieve_then_read,16000,pos_08,evidence_integration_failure,19,80,0.2375
gemma3:12b,retrieve_then_read,16000,pos_08,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,16000,pos_08,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_08,success,25,80,0.3125
gemma3:12b,retrieve_then_read,16000,pos_09,answer_conversion_failure,15,80,0.1875
gemma3:12b,retrieve_then_read,16000,pos_09,evidence_integration_failure,16,80,0.2
gemma3:12b,retrieve_then_read,16000,pos_09,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,16000,pos_09,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,16000,pos_09,success,43,80,0.5375
gemma3:12b,retrieve_then_read,32000,pos_00,answer_conversion_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,32000,pos_00,evidence_integration_failure,20,80,0.25
gemma3:12b,retrieve_then_read,32000,pos_00,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,32000,pos_00,success,33,80,0.4125
gemma3:12b,retrieve_then_read,32000,pos_01,answer_conversion_failure,26,80,0.325
gemma3:12b,retrieve_then_read,32000,pos_01,evidence_integration_failure,24,80,0.3
gemma3:12b,retrieve_then_read,32000,pos_01,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,32000,pos_01,success,25,80,0.3125
gemma3:12b,retrieve_then_read,32000,pos_02,answer_conversion_failure,15,80,0.1875
gemma3:12b,retrieve_then_read,32000,pos_02,evidence_integration_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,32000,pos_02,success,42,80,0.525
gemma3:12b,retrieve_then_read,32000,pos_03,answer_conversion_failure,12,80,0.15
gemma3:12b,retrieve_then_read,32000,pos_03,evidence_integration_failure,14,80,0.175
gemma3:12b,retrieve_then_read,32000,pos_03,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,32000,pos_03,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,32000,pos_03,success,48,80,0.6
gemma3:12b,retrieve_then_read,32000,pos_04,answer_conversion_failure,12,80,0.15
gemma3:12b,retrieve_then_read,32000,pos_04,evidence_integration_failure,11,80,0.1375
gemma3:12b,retrieve_then_read,32000,pos_04,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,32000,pos_04,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,32000,pos_04,success,52,80,0.65
gemma3:12b,retrieve_then_read,32000,pos_05,answer_conversion_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,32000,pos_05,evidence_integration_failure,14,80,0.175
gemma3:12b,retrieve_then_read,32000,pos_05,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,32000,pos_05,success,39,80,0.4875
gemma3:12b,retrieve_then_read,32000,pos_06,answer_conversion_failure,25,80,0.3125
gemma3:12b,retrieve_then_read,32000,pos_06,evidence_integration_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,32000,pos_06,evidence_localization_failure,3,80,0.0375
gemma3:12b,retrieve_then_read,32000,pos_06,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,32000,pos_06,success,24,80,0.3
gemma3:12b,retrieve_then_read,32000,pos_07,answer_conversion_failure,20,80,0.25
gemma3:12b,retrieve_then_read,32000,pos_07,evidence_integration_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,32000,pos_07,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,32000,pos_07,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,32000,pos_07,success,33,80,0.4125
gemma3:12b,retrieve_then_read,32000,pos_08,answer_conversion_failure,20,80,0.25
gemma3:12b,retrieve_then_read,32000,pos_08,evidence_integration_failure,20,80,0.25
gemma3:12b,retrieve_then_read,32000,pos_08,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,32000,pos_08,success,36,80,0.45
gemma3:12b,retrieve_then_read,32000,pos_09,answer_conversion_failure,20,80,0.25
gemma3:12b,retrieve_then_read,32000,pos_09,evidence_integration_failure,16,80,0.2
gemma3:12b,retrieve_then_read,32000,pos_09,evidence_localization_failure,2,80,0.025
gemma3:12b,retrieve_then_read,32000,pos_09,evidence_selection_failure,3,80,0.0375
gemma3:12b,retrieve_then_read,32000,pos_09,success,39,80,0.4875
gemma3:12b,retrieve_then_read,4000,pos_00,answer_conversion_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,4000,pos_00,evidence_integration_failure,33,80,0.4125
gemma3:12b,retrieve_then_read,4000,pos_00,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,4000,pos_00,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,4000,pos_00,success,21,80,0.2625
gemma3:12b,retrieve_then_read,4000,pos_01,answer_conversion_failure,11,80,0.1375
gemma3:12b,retrieve_then_read,4000,pos_01,evidence_integration_failure,36,80,0.45
gemma3:12b,retrieve_then_read,4000,pos_01,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,4000,pos_01,evidence_selection_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,4000,pos_01,success,31,80,0.3875
gemma3:12b,retrieve_then_read,4000,pos_02,answer_conversion_failure,18,80,0.225
gemma3:12b,retrieve_then_read,4000,pos_02,evidence_integration_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,4000,pos_02,evidence_localization_failure,2,80,0.025
gemma3:12b,retrieve_then_read,4000,pos_02,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,4000,pos_02,success,33,80,0.4125
gemma3:12b,retrieve_then_read,4000,pos_03,answer_conversion_failure,26,80,0.325
gemma3:12b,retrieve_then_read,4000,pos_03,evidence_integration_failure,26,80,0.325
gemma3:12b,retrieve_then_read,4000,pos_03,evidence_selection_failure,6,80,0.075
gemma3:12b,retrieve_then_read,4000,pos_03,success,22,80,0.275
gemma3:12b,retrieve_then_read,4000,pos_04,answer_conversion_failure,18,80,0.225
gemma3:12b,retrieve_then_read,4000,pos_04,evidence_integration_failure,18,80,0.225
gemma3:12b,retrieve_then_read,4000,pos_04,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,4000,pos_04,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,4000,pos_04,success,38,80,0.475
gemma3:12b,retrieve_then_read,4000,pos_05,answer_conversion_failure,17,80,0.2125
gemma3:12b,retrieve_then_read,4000,pos_05,evidence_integration_failure,27,80,0.3375
gemma3:12b,retrieve_then_read,4000,pos_05,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,4000,pos_05,success,31,80,0.3875
gemma3:12b,retrieve_then_read,4000,pos_06,answer_conversion_failure,14,80,0.175
gemma3:12b,retrieve_then_read,4000,pos_06,evidence_integration_failure,24,80,0.3
gemma3:12b,retrieve_then_read,4000,pos_06,evidence_localization_failure,3,80,0.0375
gemma3:12b,retrieve_then_read,4000,pos_06,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,4000,pos_06,success,34,80,0.425
gemma3:12b,retrieve_then_read,4000,pos_07,answer_conversion_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,4000,pos_07,evidence_integration_failure,20,80,0.25
gemma3:12b,retrieve_then_read,4000,pos_07,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,4000,pos_07,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,4000,pos_07,success,32,80,0.4
gemma3:12b,retrieve_then_read,4000,pos_08,answer_conversion_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,4000,pos_08,evidence_integration_failure,24,80,0.3
gemma3:12b,retrieve_then_read,4000,pos_08,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,4000,pos_08,success,30,80,0.375
gemma3:12b,retrieve_then_read,4000,pos_09,answer_conversion_failure,15,80,0.1875
gemma3:12b,retrieve_then_read,4000,pos_09,evidence_integration_failure,22,80,0.275
gemma3:12b,retrieve_then_read,4000,pos_09,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,4000,pos_09,success,38,80,0.475
gemma3:12b,retrieve_then_read,8000,pos_00,answer_conversion_failure,11,80,0.1375
gemma3:12b,retrieve_then_read,8000,pos_00,evidence_integration_failure,16,80,0.2
gemma3:12b,retrieve_then_read,8000,pos_00,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,8000,pos_00,success,48,80,0.6
gemma3:12b,retrieve_then_read,8000,pos_01,answer_conversion_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,8000,pos_01,evidence_integration_failure,22,80,0.275
gemma3:12b,retrieve_then_read,8000,pos_01,evidence_selection_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,8000,pos_01,success,34,80,0.425
gemma3:12b,retrieve_then_read,8000,pos_02,answer_conversion_failure,17,80,0.2125
gemma3:12b,retrieve_then_read,8000,pos_02,evidence_integration_failure,21,80,0.2625
gemma3:12b,retrieve_then_read,8000,pos_02,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,8000,pos_02,success,37,80,0.4625
gemma3:12b,retrieve_then_read,8000,pos_03,answer_conversion_failure,28,80,0.35
gemma3:12b,retrieve_then_read,8000,pos_03,evidence_integration_failure,24,80,0.3
gemma3:12b,retrieve_then_read,8000,pos_03,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,8000,pos_03,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,8000,pos_03,success,22,80,0.275
gemma3:12b,retrieve_then_read,8000,pos_04,answer_conversion_failure,33,80,0.4125
gemma3:12b,retrieve_then_read,8000,pos_04,evidence_integration_failure,13,80,0.1625
gemma3:12b,retrieve_then_read,8000,pos_04,evidence_selection_failure,2,80,0.025
gemma3:12b,retrieve_then_read,8000,pos_04,success,32,80,0.4
gemma3:12b,retrieve_then_read,8000,pos_05,answer_conversion_failure,16,80,0.2
gemma3:12b,retrieve_then_read,8000,pos_05,evidence_integration_failure,16,80,0.2
gemma3:12b,retrieve_then_read,8000,pos_05,evidence_selection_failure,5,80,0.0625
gemma3:12b,retrieve_then_read,8000,pos_05,success,43,80,0.5375
gemma3:12b,retrieve_then_read,8000,pos_06,answer_conversion_failure,24,80,0.3
gemma3:12b,retrieve_then_read,8000,pos_06,evidence_integration_failure,23,80,0.2875
gemma3:12b,retrieve_then_read,8000,pos_06,evidence_selection_failure,2,80,0.025
gemma3:12b,retrieve_then_read,8000,pos_06,success,31,80,0.3875
gemma3:12b,retrieve_then_read,8000,pos_07,answer_conversion_failure,26,80,0.325
gemma3:12b,retrieve_then_read,8000,pos_07,evidence_integration_failure,24,80,0.3
gemma3:12b,retrieve_then_read,8000,pos_07,evidence_selection_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,8000,pos_07,success,29,80,0.3625
gemma3:12b,retrieve_then_read,8000,pos_08,answer_conversion_failure,24,80,0.3
gemma3:12b,retrieve_then_read,8000,pos_08,evidence_integration_failure,13,80,0.1625
gemma3:12b,retrieve_then_read,8000,pos_08,evidence_localization_failure,1,80,0.0125
gemma3:12b,retrieve_then_read,8000,pos_08,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,8000,pos_08,success,38,80,0.475
gemma3:12b,retrieve_then_read,8000,pos_09,answer_conversion_failure,20,80,0.25
gemma3:12b,retrieve_then_read,8000,pos_09,evidence_integration_failure,19,80,0.2375
gemma3:12b,retrieve_then_read,8000,pos_09,evidence_selection_failure,4,80,0.05
gemma3:12b,retrieve_then_read,8000,pos_09,success,37,80,0.4625
qwen2.5:14b,direct,16000,pos_00,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,16000,pos_01,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,16000,pos_02,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,16000,pos_03,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,16000,pos_04,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,16000,pos_05,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,16000,pos_06,answer_conversion_failure,40,80,0.5
qwen2.5:14b,direct,16000,pos_06,evidence_integration_failure,39,80,0.4875
qwen2.5:14b,direct,16000,pos_06,evidence_localization_failure,1,80,0.0125
qwen2.5:14b,direct,16000,pos_07,answer_conversion_failure,36,80,0.45
qwen2.5:14b,direct,16000,pos_07,evidence_integration_failure,42,80,0.525
qwen2.5:14b,direct,16000,pos_07,evidence_localization_failure,2,80,0.025
qwen2.5:14b,direct,16000,pos_08,answer_conversion_failure,60,80,0.75
qwen2.5:14b,direct,16000,pos_08,success,20,80,0.25
qwen2.5:14b,direct,16000,pos_09,answer_conversion_failure,62,80,0.775
qwen2.5:14b,direct,16000,pos_09,success,18,80,0.225
qwen2.5:14b,direct,32000,pos_00,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_01,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_02,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_03,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_04,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_05,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_06,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_07,evidence_localization_failure,80,80,1.0
qwen2.5:14b,direct,32000,pos_08,answer_conversion_failure,42,80,0.525
qwen2.5:14b,direct,32000,pos_08,evidence_integration_failure,37,80,0.4625
qwen2.5:14b,direct,32000,pos_08,evidence_localization_failure,1,80,0.0125
qwen2.5:14b,direct,32000,pos_09,answer_conversion_failure,64,80,0.8
qwen2.5:14b,direct,32000,pos_09,success,16,80,0.2
qwen2.5:14b,direct,4000,pos_00,answer_conversion_failure,35,80,0.4375
qwen2.5:14b,direct,4000,pos_00,evidence_integration_failure,11,80,0.1375
qwen2.5:14b,direct,4000,pos_00,evidence_selection_failure,1,80,0.0125
qwen2.5:14b,direct,4000,pos_00,success,33,80,0.4125
qwen2.5:14b,direct,4000,pos_01,answer_conversion_failure,39,80,0.4875
qwen2.5:14b,direct,4000,pos_01,evidence_integration_failure,8,80,0.1
qwen2.5:14b,direct,4000,pos_01,evidence_selection_failure,1,80,0.0125
qwen2.5:14b,direct,4000,pos_01,success,32,80,0.4
qwen2.5:14b,direct,4000,pos_02,answer_conversion_failure,29,80,0.3625
qwen2.5:14b,direct,4000,pos_02,evidence_integration_failure,13,80,0.1625
qwen2.5:14b,direct,4000,pos_02,success,38,80,0.475
qwen2.5:14b,direct,4000,pos_03,answer_conversion_failure,34,80,0.425
qwen2.5:14b,direct,4000,pos_03,evidence_integration_failure,7,80,0.0875
qwen2.5:14b,direct,4000,pos_03,evidence_selection_failure,1,80,0.0125
qwen2.5:14b,direct,4000,pos_03,success,38,80,0.475
qwen2.5:14b,direct,4000,pos_04,answer_conversion_failure,40,80,0.5
qwen2.5:14b,direct,4000,pos_04,evidence_integration_failure,4,80,0.05
